PacketCounter,LB_Acc_X,LB_Acc_Y,LB_Acc_Z,LB_Gyr_X,LB_Gyr_Y,LB_Gyr_Z
0.0,10.039957923448572,0.05640527559955282,-0.13169617763682923,-0.08566043692732268,-0.13299491947420347,0.034365901397294014
1.0,10.033970445320938,0.03399276147472426,-0.19247801796347938,-0.08669561470596124,-0.1233151126904696,0.03147286563232099
2.0,10.034657566337735,0.015079768925251919,-0.24750298887704628,-0.08659995260512439,-0.11205908266604671,0.02869290478406175
3.0,10.044492751002524,-0.0009859184319990471,-0.29088661791511955,-0.08406246080655809,-0.09818182316548998,0.026127719478390224
4.0,10.059900085859077,-0.019727854074208625,-0.3172276744252564,-0.07780411078444649,-0.08160268311912769,0.023856308573109074
5.0,10.072632237274888,-0.047892159630388745,-0.3230396943039945,-0.06723027176690244,-0.06335483033595572,0.02189138161954311
6.0,10.07370500006231,-0.08779561154890066,-0.30847795882175594,-0.0530917942501401,-0.0453367603020971,0.020148111712833674
7.0,10.057827913771115,-0.13368755391259696,-0.2782860503909469,-0.037566932195039066,-0.029686305240275854,0.01846801901546331
8.0,10.026064482783465,-0.17302764735091233,-0.24099423760690694,-0.02348087177225462,-0.01800172121247713,0.016704939814987878
9.0,9.985492273390733,-0.1924097671240984,-0.20624495181029306,-0.012973660394051912,-0.010761667071867282,0.014824098127248787
