train_cohort,test_cohort,accuracy
ACL,CIPN,
ACL,CVA,
ACL,Healthy,
ACL,HipOA,
ACL,KneeOA,
ACL,PD,
ACL,RIL,
CIPN,ACL,
CIPN,CVA,
CIPN,Healthy,
CIPN,HipOA,
CIPN,KneeOA,
CIPN,PD,
CIPN,RIL,
CVA,ACL,
CVA,CIPN,
CVA,Healthy,
CVA,HipOA,
CVA,KneeOA,
CVA,PD,
CVA,RIL,
Healthy,ACL,
Healthy,CIPN,
Healthy,CVA,
Healthy,HipOA,
Healthy,KneeOA,
Healthy,PD,
Healthy,RIL,
HipOA,ACL,
HipOA,CIPN,
HipOA,CVA,
HipOA,Healthy,
HipOA,KneeOA,
HipOA,PD,
HipOA,RIL,
KneeOA,ACL,
KneeOA,CIPN,
KneeOA,CVA,
KneeOA,Healthy,
KneeOA,HipOA,
KneeOA,PD,
KneeOA,RIL,
PD,ACL,
PD,CIPN,
PD,CVA,
PD,Healthy,
PD,HipOA,
PD,KneeOA,
PD,RIL,
RIL,ACL,
RIL,CIPN,
RIL,CVA,
RIL,Healthy,
RIL,HipOA,
RIL,KneeOA,
RIL,PD,
