model,label_mode,auc,auc_weighted_ovr,macro_f1,f1_weighted,auc_ci_low,auc_ci_high,auc_pr,accuracy,f1,sensitivity,specificity,decision_threshold,threshold_strategy,threshold_eval_youden,accuracy_at_0.5,f1_at_0.5,accuracy_eval_youden,delta_accuracy_eval_minus_train,p_delong_vs_best,p_bootstrap_mwu_vs_best,p_mcnemar_vs_best,auc_reference_model,p_delong_fmt,p_mcnemar_fmt,evaluation_mode,validation_strategy,participants,per_class_low (Healthy)_f1,per_class_moderate (orthopedic: HipOA/KneeOA/ACL)_f1,per_class_high (neurological: PD/CVA/CIPN/RIL)_f1
svm,multiclass,0.7966113538445869,0.8096746924518418,0.5411502849002848,0.631898627547666,0.7526539524550032,0.838471037542523,0.6216375956155648,0.6576923076923077,0.5411502849002848,0.5329772966759269,0.7866371101665219,,argmax,,,,,,,,,,,,full_nested,nested_group_cv,260,0.5777777777777777,0.2769230769230769,0.76875
ensemble_stacking,multiclass,0.795893877199147,0.8102820685682676,0.5816173130547515,0.6630154201184609,0.7499492975685829,0.8405633663870792,0.6241408044173613,0.6807692307692308,0.5816173130547515,0.5716384072548456,0.8071698635424126,,argmax,,,,,,,,,,,,full_nested,nested_group_cv,260,0.6099290780141844,0.3478260869565217,0.7870967741935484
ensemble_soft_voting,multiclass,0.793834929257407,0.8083363071485243,0.5726748020592014,0.6575117032988408,0.747115314677741,0.8385949777287081,0.6191855493802793,0.676923076923077,0.5726748020592014,0.564062649679088,0.8043208606934097,,argmax,,,,,,,,,,,,full_nested,nested_group_cv,260,0.6099290780141844,0.3235294117647059,0.7845659163987139
xgboost,multiclass,0.7898904310077578,0.8032799130649808,0.5263506201006201,0.6287403474903475,0.7447086720305142,0.8332319031423816,0.6053337802722137,0.6538461538461539,0.5263506201006201,0.529097614714053,0.7946921451823412,,argmax,,,,,,,,,,,,full_nested,nested_group_cv,260,0.581081081081081,0.21875,0.7792207792207793
random_forest,multiclass,0.7821134837001642,0.7946842174500546,0.5681472937758981,0.638468675755873,0.7353414421457359,0.8272167457730032,0.5990991079705118,0.6423076923076924,0.5681472937758981,0.5662978573937477,0.7989637450421764,,argmax,,,,,,,,,,,,full_nested,nested_group_cv,260,0.5866666666666667,0.3703703703703703,0.7474048442906575
lightgbm,multiclass,0.7633541680603604,0.7814608845151831,0.5653504278237754,0.6278403366356459,0.7135529158281994,0.8117522963417844,0.5790760526695048,0.6192307692307693,0.5653504278237754,0.5755260721014146,0.8020444515542554,,argmax,,,,,,,,,,,,full_nested,nested_group_cv,260,0.5844155844155844,0.3877551020408163,0.7238805970149254
mlp,multiclass,0.7581403083653906,0.7765331042763169,0.5499616273147995,0.6378778856598735,0.7109088257878338,0.8052838194190958,0.5684928917284794,0.6653846153846154,0.5499616273147995,0.5384136411533672,0.7894842086018556,,argmax,,,,,,,,,,,,full_nested,nested_group_cv,260,0.5522388059701493,0.3174603174603174,0.7801857585139319
dl_inception_time,multiclass,0.9171499398970524,,0.7234232635940847,,0.8889599128826423,0.9431541420510419,,0.7730769230769231,,,,,,,,,,,,,,,,,loso_dl,LOSO,260,,,
dl_gait_transformer,multiclass,0.9211179499963875,,0.7159846588155573,,0.8953885123251257,0.9453253952040647,,0.7653846153846153,,,,,,,,,,,,,,,,,loso_dl,LOSO,260,,,
dl_tcn,multiclass,0.9152019255566075,,0.7766800294731059,,0.8860182703590425,0.9418816554821515,,0.8153846153846154,,,,,,,,,,,,,,,,,loso_dl,LOSO,260,,,
dl_cnn1d,multiclass,0.9181843288371833,,0.7413942877357512,,0.8900917823423464,0.9439542844023707,,0.7923076923076923,,,,,,,,,,,,,,,,,loso_dl,LOSO,260,,,
dl_bilstm_attention,multiclass,0.929178260947125,,0.77242822496956,,0.9040835800396377,0.9515714278641558,,0.8115384615384615,,,,,,,,,,,,,,,,,loso_dl,LOSO,260,,,
