model,class,auc_ovr,avg_precision,sensitivity,specificity,precision,recall,f1,support
xgboost,low (Healthy),0.8200864405538055,0.6377300293835784,0.589041095890411,0.8288770053475936,0.5733333333333334,0.589041095890411,0.581081081081081,73.0
xgboost,moderate (orthopedic: HipOA/KneeOA/ACL),0.7333754208754208,0.3474680941579591,0.1590909090909091,0.9398148148148148,0.35,0.1590909090909091,0.21875,44.0
xgboost,high (neurological: PD/CVA/CIPN/RIL),0.8162094315940469,0.8308032172751039,0.8391608391608392,0.6153846153846154,0.7272727272727273,0.8391608391608392,0.7792207792207793,143.0
lightgbm,low (Healthy),0.7989158303420995,0.5985742078165593,0.6164383561643836,0.8074866310160428,0.5555555555555556,0.6164383561643836,0.5844155844155844,73.0
lightgbm,moderate (orthopedic: HipOA/KneeOA/ACL),0.6906565656565656,0.33372760914476507,0.4318181818181818,0.8379629629629629,0.35185185185185186,0.4318181818181818,0.3877551020408163,44.0
lightgbm,high (neurological: PD/CVA/CIPN/RIL),0.800490108182416,0.8049263410471897,0.6783216783216783,0.7606837606837606,0.776,0.6783216783216783,0.7238805970149254,143.0
random_forest,low (Healthy),0.8175957805288989,0.6461205171729327,0.6027397260273972,0.8235294117647058,0.5714285714285714,0.6027397260273972,0.5866666666666667,73.0
random_forest,moderate (orthopedic: HipOA/KneeOA/ACL),0.7240109427609428,0.33742589002997714,0.3409090909090909,0.8981481481481481,0.40540540540540543,0.3409090909090909,0.37037037037037035,44.0
random_forest,high (neurological: PD/CVA/CIPN/RIL),0.8047337278106509,0.8137509167086256,0.7552447552447552,0.6752136752136753,0.7397260273972602,0.7552447552447552,0.7474048442906575,143.0
svm,low (Healthy),0.827851439454985,0.6563383550801549,0.5342465753424658,0.8770053475935828,0.6290322580645161,0.5342465753424658,0.5777777777777777,73.0
svm,moderate (orthopedic: HipOA/KneeOA/ACL),0.7402146464646465,0.3598407082768864,0.20454545454545456,0.9444444444444444,0.42857142857142855,0.20454545454545456,0.27692307692307694,44.0
svm,high (neurological: PD/CVA/CIPN/RIL),0.8217679756141294,0.8487337234896528,0.8601398601398601,0.5384615384615384,0.6949152542372882,0.8601398601398601,0.76875,143.0
mlp,low (Healthy),0.7821405025272874,0.567649984159724,0.5068493150684932,0.8716577540106952,0.6065573770491803,0.5068493150684932,0.5522388059701493,73.0
mlp,moderate (orthopedic: HipOA/KneeOA/ACL),0.6928661616161617,0.3346221725082665,0.22727272727272727,0.9583333333333334,0.5263157894736842,0.22727272727272727,0.31746031746031744,44.0
mlp,high (neurological: PD/CVA/CIPN/RIL),0.7994142609527225,0.8032065185174475,0.8811188811188811,0.5384615384615384,0.7,0.8811188811188811,0.7801857585139319,143.0
ensemble_soft_voting,low (Healthy),0.8272654018020658,0.6497848678434441,0.589041095890411,0.8663101604278075,0.6323529411764706,0.589041095890411,0.6099290780141844,73.0
ensemble_soft_voting,moderate (orthopedic: HipOA/KneeOA/ACL),0.7321127946127945,0.37872437686764926,0.25,0.9398148148148148,0.4583333333333333,0.25,0.3235294117647059,44.0
ensemble_soft_voting,high (neurological: PD/CVA/CIPN/RIL),0.8221265913573605,0.8290474034297443,0.8531468531468531,0.6068376068376068,0.7261904761904762,0.8531468531468531,0.7845659163987139,143.0
ensemble_stacking,low (Healthy),0.8298293165335873,0.6539354289716842,0.589041095890411,0.8663101604278075,0.6323529411764706,0.589041095890411,0.6099290780141844,73.0
ensemble_stacking,moderate (orthopedic: HipOA/KneeOA/ACL),0.7341119528619529,0.386217170409473,0.2727272727272727,0.9398148148148148,0.48,0.2727272727272727,0.34782608695652173,44.0
ensemble_stacking,high (neurological: PD/CVA/CIPN/RIL),0.8237403622019006,0.8322698138709269,0.8531468531468531,0.6153846153846154,0.7305389221556886,0.8531468531468531,0.7870967741935484,143.0
