feature,mean_abs_shap,std_abs_shap
lb_range_ap_std,0.14239877750376073,0.0687930463744291
lb_jerk_max_ml_mean,0.06699665362359532,0.04010440067192241
lb_std_ml_mean,0.06436829348170643,0.04226845246743906
lb_rms_ap_mean,0.03646602066967014,0.018452220187599656
lb_range_ap_mean,0.032649760045518846,0.01199502260539191
lb_jerk_mean_ml_mean,0.02610173196774273,0.018298865614103963
head_postural_sway_vel_mean,0.024512303172450362,0.026849048701283715
head_lb_rms_ratio_std,0.015104684643658583,0.018707782726160437
turn_jerk_mean_range,0.014175969302634109,0.011166238241334224
head_lb_rms_ratio_range,0.013096901595461986,0.018312706267090816
head_lb_rms_ratio_trend,0.010841861981925662,0.01533913767179222
lb_rms_ap_range,0.009606860545759141,0.010166413219210163
lb_range_ml_mean,0.007623101750960819,0.005111826934692836
lb_jerk_max_ml_std,0.007094882120557272,0.005522874532379952
lb_jerk_mean_ml_std,0.005390554503961817,0.0036194563393128925
lb_range_ml_std,0.0052741189489415455,0.005009053723456061
head_lb_rms_ratio_mean,0.004851883674762851,0.0065758953435264954
lb_jerk_mean_ml_range,0.003958693389464989,0.003357137065544329
lb_range_ml_range,0.0038596414924608547,0.0034480686235532285
lb_rms_ap_trend,0.0021201935426011453,0.0025573524516700865
