cohort,feature,mean_abs_shap,std_abs_shap,n_subjects
ACL,lb_sampen_mean,0.0,0.0,11
ACL,lb_sampen_std,0.0,0.0,11
ACL,lb_sampen_range,0.0,0.0,11
ACL,lb_sampen_trend,0.0,0.0,11
ACL,lb_dfa_mean,0.0,0.0,11
ACL,lb_dfa_std,0.0,0.0,11
ACL,lb_dfa_range,0.0,0.0,11
ACL,lb_dfa_trend,0.0,0.0,11
ACL,head_sampen_mean,0.0,0.0,11
ACL,head_sampen_std,0.0,0.0,11
ACL,head_sampen_range,0.0,0.0,11
ACL,head_sampen_trend,0.0,0.0,11
ACL,head_dfa_mean,0.0,0.0,11
ACL,head_dfa_std,0.0,0.0,11
ACL,head_dfa_range,0.0,0.0,11
ACL,head_dfa_trend,0.0,0.0,11
ACL,head_lb_dfa_ratio_mean,0.0,0.0,11
ACL,head_lb_dfa_ratio_std,0.0,0.0,11
ACL,head_lb_dfa_ratio_range,0.0,0.0,11
ACL,head_lb_dfa_ratio_trend,0.0,0.0,11
CIPN,lb_sampen_mean,0.0,0.0,19
CIPN,lb_sampen_std,0.0,0.0,19
CIPN,lb_sampen_range,0.0,0.0,19
CIPN,lb_sampen_trend,0.0,0.0,19
CIPN,lb_dfa_mean,0.0,0.0,19
CIPN,lb_dfa_std,0.0,0.0,19
CIPN,lb_dfa_range,0.0,0.0,19
CIPN,lb_dfa_trend,0.0,0.0,19
CIPN,head_sampen_mean,0.0,0.0,19
CIPN,head_sampen_std,0.0,0.0,19
CIPN,head_sampen_range,0.0,0.0,19
CIPN,head_sampen_trend,0.0,0.0,19
CIPN,head_dfa_mean,0.0,0.0,19
CIPN,head_dfa_std,0.0,0.0,19
CIPN,head_dfa_range,0.0,0.0,19
CIPN,head_dfa_trend,0.0,0.0,19
CIPN,head_lb_dfa_ratio_mean,0.0,0.0,19
CIPN,head_lb_dfa_ratio_std,0.0,0.0,19
CIPN,head_lb_dfa_ratio_range,0.0,0.0,19
CIPN,head_lb_dfa_ratio_trend,0.0,0.0,19
CVA,lb_sampen_mean,0.0,0.0,49
CVA,lb_sampen_std,0.0,0.0,49
CVA,lb_sampen_range,0.0,0.0,49
CVA,lb_sampen_trend,0.0,0.0,49
CVA,lb_dfa_mean,0.0,0.0,49
CVA,lb_dfa_std,0.0,0.0,49
CVA,lb_dfa_range,0.0,0.0,49
CVA,lb_dfa_trend,0.0,0.0,49
CVA,head_sampen_mean,0.0,0.0,49
CVA,head_sampen_std,0.0,0.0,49
CVA,head_sampen_range,0.0,0.0,49
CVA,head_sampen_trend,0.0,0.0,49
CVA,head_dfa_mean,0.0,0.0,49
CVA,head_dfa_std,0.0,0.0,49
CVA,head_dfa_range,0.0,0.0,49
CVA,head_dfa_trend,0.0,0.0,49
CVA,head_lb_dfa_ratio_mean,0.0,0.0,49
CVA,head_lb_dfa_ratio_std,0.0,0.0,49
CVA,head_lb_dfa_ratio_range,0.0,0.0,49
CVA,head_lb_dfa_ratio_trend,0.0,0.0,49
Healthy,lb_sampen_mean,0.0,0.0,73
Healthy,lb_sampen_std,0.0,0.0,73
Healthy,lb_sampen_range,0.0,0.0,73
Healthy,lb_sampen_trend,0.0,0.0,73
Healthy,lb_dfa_mean,0.0,0.0,73
Healthy,lb_dfa_std,0.0,0.0,73
Healthy,lb_dfa_range,0.0,0.0,73
Healthy,lb_dfa_trend,0.0,0.0,73
Healthy,head_sampen_mean,0.0,0.0,73
Healthy,head_sampen_std,0.0,0.0,73
Healthy,head_sampen_range,0.0,0.0,73
Healthy,head_sampen_trend,0.0,0.0,73
Healthy,head_dfa_mean,0.0,0.0,73
Healthy,head_dfa_std,0.0,0.0,73
Healthy,head_dfa_range,0.0,0.0,73
Healthy,head_dfa_trend,0.0,0.0,73
Healthy,head_lb_dfa_ratio_mean,0.0,0.0,73
Healthy,head_lb_dfa_ratio_std,0.0,0.0,73
Healthy,head_lb_dfa_ratio_range,0.0,0.0,73
Healthy,head_lb_dfa_ratio_trend,0.0,0.0,73
HipOA,lb_sampen_mean,0.0,0.0,15
HipOA,lb_sampen_std,0.0,0.0,15
HipOA,lb_sampen_range,0.0,0.0,15
HipOA,lb_sampen_trend,0.0,0.0,15
HipOA,lb_dfa_mean,0.0,0.0,15
HipOA,lb_dfa_std,0.0,0.0,15
HipOA,lb_dfa_range,0.0,0.0,15
HipOA,lb_dfa_trend,0.0,0.0,15
HipOA,head_sampen_mean,0.0,0.0,15
HipOA,head_sampen_std,0.0,0.0,15
HipOA,head_sampen_range,0.0,0.0,15
HipOA,head_sampen_trend,0.0,0.0,15
HipOA,head_dfa_mean,0.0,0.0,15
HipOA,head_dfa_std,0.0,0.0,15
HipOA,head_dfa_range,0.0,0.0,15
HipOA,head_dfa_trend,0.0,0.0,15
HipOA,head_lb_dfa_ratio_mean,0.0,0.0,15
HipOA,head_lb_dfa_ratio_std,0.0,0.0,15
HipOA,head_lb_dfa_ratio_range,0.0,0.0,15
HipOA,head_lb_dfa_ratio_trend,0.0,0.0,15
KneeOA,lb_sampen_mean,0.0,0.0,18
KneeOA,lb_sampen_std,0.0,0.0,18
KneeOA,lb_sampen_range,0.0,0.0,18
KneeOA,lb_sampen_trend,0.0,0.0,18
KneeOA,lb_dfa_mean,0.0,0.0,18
KneeOA,lb_dfa_std,0.0,0.0,18
KneeOA,lb_dfa_range,0.0,0.0,18
KneeOA,lb_dfa_trend,0.0,0.0,18
KneeOA,head_sampen_mean,0.0,0.0,18
KneeOA,head_sampen_std,0.0,0.0,18
